Header
rate=30
frames=107
duration=3.5
type=degree
Body
Time,Frame,NV,NH,HD,LS,LE,LH,LK,RS,RE,RH,RK,TO,TH,TV,SD
1.056000,32,0,0,0,-25,41,24,-36,-15,53,33,-58,-15,13,13,0
1.089000,33,0,0,0,-25,43,22,-36,-17,53,35,-59,-15,8,13,0
1.122000,34,0,0,0,-23,45,20,-36,-19,53,37,-59,-15,3,11,0
1.155000,35,0,0,0,-23,46,19,-36,-20,53,38,-60,-15,-1,11,0
1.188000,36,0,0,0,-22,51,14,-38,-25,52,43,-61,-15,-11,3,0
1.221000,37,0,0,0,-22,51,14,-38,-25,52,43,-61,-15,-11,3,0
1.254000,38,0,0,0,-21,53,14,-40,-27,51,45,-62,-15,-16,-1,0
1.287000,39,0,0,0,-21,54,14,-40,-28,51,45,-63,-15,-21,-1,0
1.320000,40,0,0,0,-20,54,14,-40,-30,49,45,-64,-15,-26,-6,0
1.353000,41,0,0,0,-20,53,14,-39,-29,48,45,-65,-15,-29,-7,0
1.386000,42,0,0,0,-20,52,14,-38,-28,47,45,-65,-15,-31,-8,0
1.419000,43,0,0,0,-20,50,14,-36,-30,45,45,-65,-15,-36,-10,0
1.452000,44,0,0,0,-21,45,14,-37,-30,45,44,-64,-15,-41,-10,0
1.485000,45,0,0,0,-21,45,14,-37,-30,45,44,-64,-15,-41,-10,0
1.518000,46,0,0,0,-21,46,14,-40,-30,48,41,-64,-15,-40,-8,0
1.551000,47,0,0,0,-21,48,14,-43,-30,51,38,-64,-15,-39,-6,0
1.584000,48,0,0,0,-21,48,14,-43,-30,51,38,-64,-15,-39,-6,0
1.617000,49,0,0,0,-21,48,14,-45,-30,53,37,-64,-15,-36,-6,0
1.650000,50,0,0,0,-22,51,14,-50,-29,58,32,-63,-15,-26,3,0
1.683000,51,0,0,0,-22,51,14,-50,-29,58,32,-63,-15,-26,3,0
1.716000,52,0,0,0,-22,51,14,-51,-28,59,32,-63,-15,-23,3,0
1.749000,53,0,0,0,-22,51,14,-53,-27,61,30,-63,-15,-18,7,0
1.782000,54,0,0,0,-24,51,14,-55,-27,63,29,-63,-15,-13,7,0
1.815000,55,0,0,0,-26,49,16,-57,-27,65,27,-63,-15,-8,11,0
1.848000,56,0,0,0,-28,47,18,-59,-25,67,25,-62,-15,-3,16,0
1.881000,57,0,0,0,-30,47,20,-61,-23,69,24,-62,-15,2,16,0
1.914000,58,0,0,0,-30,46,22,-63,-21,71,23,-61,-15,7,16,0
1.947000,59,0,0,0,-30,44,24,-65,-19,73,22,-60,-15,12,17,0
1.980000,60,0,0,0,-30,40,28,-67,-16,71,19,-58,-15,20,17,0
2.013000,61,0,0,0,-30,36,32,-70,-12,68,16,-55,-15,28,17,0
2.046000,62,0,0,0,-30,36,32,-70,-12,68,16,-55,-15,28,17,0
2.079000,63,0,0,0,-30,34,34,-68,-10,66,14,-53,-15,33,15,0
2.112000,64,0,0,0,-30,29,39,-65,-13,61,11,-49,-15,41,15,0
2.145000,65,0,0,0,-30,29,39,-65,-13,61,11,-49,-15,41,15,0
2.178000,66,0,0,0,-30,29,41,-63,-15,59,9,-47,-15,43,14,0
2.211000,67,0,0,0,-30,28,40,-63,-17,58,8,-48,-15,43,14,0
2.244000,68,0,0,0,-30,27,38,-62,-19,56,7,-50,-15,42,13,0
2.277000,69,0,0,0,-30,26,36,-62,-21,54,9,-52,-15,38,12,0
2.310000,70,0,0,0,-30,26,35,-62,-23,53,11,-54,-15,36,12,0
2.343000,71,0,0,0,-30,25,33,-61,-24,55,13,-56,-15,31,11,0
2.376000,72,0,0,0,-30,24,32,-61,-24,55,14,-58,-15,30,11,0
2.409000,73,0,0,0,-30,23,30,-59,-25,56,16,-60,-15,25,9,0
2.442000,74,0,0,0,-29,23,28,-59,-26,56,18,-62,-15,20,9,0
2.475000,75,0,0,0,-27,22,26,-57,-26,56,20,-64,-15,15,8,0
2.508000,76,0,0,0,-26,21,24,-57,-27,56,21,-66,-15,13,8,0
2.541000,77,0,0,0,-25,20,19,-54,-28,56,26,-71,-15,3,7,0
2.574000,78,0,0,0,-25,20,19,-54,-28,56,26,-71,-15,3,7,0
